"n_tango_id","s_tango","s_hinsikbn_1","s_hinsikbn_2","s_hinsikbn_3","s_hinsikbn_4","d_eikyoudo_age","d_eikyoudo_sage","n_update_cnt","n_eikyou_musi_flg"
4142,"会社","名詞","一般","*","*",45,52,44,1
4143,"直接","名詞","副詞可能","*","*",0,15,7,1
4144,"施工","名詞","サ変接続","*","*",24,18,19,1
4145,"並行","名詞","サ変接続","*","*",0,15,7,1
4146,"契約","名詞","サ変接続","*","*",0,15,7,1
4147,"工務","名詞","一般","*","*",6,60,24,1
4148,"店","名詞","接尾","一般","*",6,80,28,1
4149,"拡大","名詞","サ変接続","*","*",3,15,8,1
4150,"直近","名詞","一般","*","*",6,15,10,1
4151,"決算","名詞","サ変接続","*","*",9,85,34,1
4152,"月","名詞","一般","*","*",99,108,88,1
4153,"発表","名詞","サ変接続","*","*",21,31,20,1
4154,"本","接頭詞","名詞接続","*","*",0,15,7,1
4155,"経常","名詞","一般","*","*",12,62,25,0
4156,"利益","名詞","一般","*","*",12,27,15,1
4157,"：","記号","一般","*","*",129,171,124,1
4159,"百","名詞","数","*","*",0,15,7,1
4160,"万","名詞","数","*","*",24,69,35,1
4161,"対","名詞","接続詞的","*","*",0,15,7,1
4163,"%","名詞","サ変接続","*","*",15,60,34,1
4164,"昨日","名詞","副詞可能","*","*",0,30,12,1
4165,"履歴","名詞","一般","*","*",0,12,6,1
4166,"$","名詞","サ変接続","*","*",0,21,13,1
4168,"30","名詞","数","*","*",9,116,46,1
4169,"購入","名詞","サ変接続","*","*",54,152,69,0
4170,"PG","名詞","固有名詞","組織","*",0,12,6,1
4171,"2","名詞","数","*","*",63,204,107,1
4174,"利","名詞","一般","*","*",24,12,18,1
4175,"確","名詞","一般","*","*",15,12,12,1
4177,"損","名詞","接尾","一般","*",0,21,13,1
4178,"切り","名詞","接尾","一般","*",0,21,13,1
4192,"ブル","名詞","一般","*","*",0,27,15,1
4193,"倍","名詞","接尾","助数詞","*",60,102,60,1
4194,"50","名詞","数","*","*",18,39,30,1
4196,"22","名詞","数","*","*",54,51,41,1
4197,"清涼","名詞","一般","*","*",0,12,5,1
4198,"飲料","名詞","一般","*","*",0,46,13,0
4199,"業界","名詞","一般","*","*",0,12,5,1
4202,"名","名詞","接尾","一般","*",18,38,18,1
4204,"位","名詞","接尾","助数詞","*",0,54,31,1
4206,"18","名詞","数","*","*",12,12,11,1
4207,"9","名詞","数","*","*",15,65,29,1
4208,"％","名詞","接尾","助数詞","*",9,69,40,1
4211,"産","名詞","接尾","地域","*",0,12,5,1
4215,"自分","名詞","一般","*","*",24,23,14,0
4217,"銘柄","名詞","一般","*","*",310,615,286,0
4219,"１","名詞","数","*","*",111,78,67,1
4221,"分散","名詞","サ変接続","*","*",12,0,5,1
4222,"いく","動詞","非自立","*","*",18,3,8,1
4223,"たい","助動詞","*","*","*",36,15,20,1
4225,"硬質","名詞","一般","*","*",12,0,5,1
4228,"住宅","名詞","一般","*","*",45,0,19,1
4229,"建築","名詞","サ変接続","*","*",30,3,16,1
4230,"物","名詞","接尾","一般","*",39,0,17,1
4231,"断熱","名詞","一般","*","*",12,0,5,1
4232,"材","名詞","接尾","一般","*",21,0,8,1
4233,"販売","名詞","サ変接続","*","*",129,218,120,0
4234,"エコ","名詞","一般","*","*",12,0,5,1
4235,"注文","名詞","サ変接続","*","*",12,0,5,1
4236,"東証","名詞","固有名詞","組織","*",27,0,12,1
4237,"貸借","名詞","サ変接続","*","*",24,44,21,0
4238,"時価","名詞","一般","*","*",12,0,5,1
4239,"総額","名詞","一般","*","*",33,92,32,0
4241,"億","名詞","数","*","*",36,61,31,1
4244,"13","名詞","数","*","*",54,30,37,1
4246,"20","名詞","数","*","*",36,9,20,1
4247,"%◆","名詞","サ変接続","*","*",114,108,99,1
4248,"自己","名詞","一般","*","*",96,101,67,0
4249,"資本","名詞","一般","*","*",24,26,15,0
4250,"比率","名詞","一般","*","*",12,0,5,1
4251,"44","名詞","数","*","*",12,0,5,1
4252,"配当","名詞","サ変接続","*","*",120,243,122,0
4253,"回","名詞","接尾","助数詞","*",30,6,13,1
4254,"66","名詞","数","*","*",12,15,10,1
4255,"続く","動詞","自立","*","*",60,65,41,0
4257,"第","接頭詞","数接続","*","*",57,18,30,1
4258,"四","名詞","数","*","*",12,0,5,1
4259,"話","名詞","接尾","助数詞","*",63,85,52,0
4262,"最新","名詞","一般","*","*",12,0,5,1
4263,"記事","名詞","一般","*","*",51,76,39,0
4264,"長期","名詞","一般","*","*",36,44,25,0
4266,"｢","名詞","サ変接続","*","*",21,0,11,1
4267,"10","名詞","数","*","*",69,79,51,1
4268,"｣","名詞","サ変接続","*","*",12,0,5,1
4269,"上位","名詞","一般","*","*",12,0,5,1
4270,"入る","動詞","自立","*","*",12,26,11,1
4271,"紹介","名詞","サ変接続","*","*",21,56,24,0
4272,"19","名詞","数","*","*",24,0,9,1
4273,"期","名詞","接尾","助数詞","*",18,18,15,1
4274,"連続","名詞","サ変接続","*","*",96,221,92,0
4275,"増配","名詞","サ変接続","*","*",12,0,5,1
4276,"沖縄","名詞","固有名詞","地域","一般",12,0,5,1
4277,"セル","名詞","一般","*","*",12,0,5,1
4278,"ラー","名詞","一般","*","*",12,0,5,1
4279,"電話","名詞","サ変接続","*","*",27,74,35,0
4280,"業績","名詞","一般","*","*",18,12,14,1
4281,"ミ","名詞","一般","*","*",0,24,12,1
4285,"G","名詞","固有名詞","組織","*",3,45,24,1
4287,"本格","名詞","一般","*","*",0,12,5,1
4289,"そう","名詞","接尾","助動詞語幹","*",36,42,31,1
4290,"関連","名詞","サ変接続","*","*",27,235,84,0
4293,"昨年","名詞","副詞可能","*","*",0,12,5,1
4294,"話題","名詞","一般","*","*",0,128,33,0
4296,"暴落","名詞","サ変接続","*","*",6,12,7,1
4297,"無縁","名詞","形容動詞語幹","*","*",0,12,5,1
4300,"＋","記号","一般","*","*",54,30,35,1
4302,"更に","副詞","助詞類接続","*","*",21,0,11,1
4303,"上昇","名詞","サ変接続","*","*",21,20,15,1
4307,"確認","名詞","サ変接続","*","*",39,6,19,1
4308,"暴騰","名詞","サ変接続","*","*",12,0,5,1
4309,"後","名詞","接尾","副詞可能","*",18,16,12,1
4310,"下落","名詞","サ変接続","*","*",18,24,15,1
4311,"反発","名詞","サ変接続","*","*",12,0,5,1
4312,"反騰","名詞","サ変接続","*","*",12,0,5,1
4313,"期待","名詞","サ変接続","*","*",24,12,14,1
4314,"内装","名詞","一般","*","*",12,0,5,1
4315,"工事","名詞","サ変接続","*","*",66,54,51,1
4316,"日商","名詞","一般","*","*",12,0,5,1
4318,"等","名詞","接尾","一般","*",12,28,14,1
4319,"傘下","名詞","一般","*","*",12,10,7,1
4320,"持株","名詞","一般","*","*",12,0,5,1
4321,"音響","名詞","一般","*","*",33,3,13,0
4322,"照明","名詞","サ変接続","*","*",12,0,5,1
4323,"設備","名詞","サ変接続","*","*",99,105,69,0
4324,"参入","名詞","サ変接続","*","*",15,0,6,1
4325,"人材","名詞","一般","*","*",12,0,5,1
4326,"派遣","名詞","サ変接続","*","*",12,0,5,1
4327,"携帯","名詞","サ変接続","*","*",12,0,5,1
4330,"神妙","名詞","形容動詞語幹","*","*",12,0,5,1
4332,"言う","動詞","自立","*","*",69,170,75,0
4333,"どう","副詞","助詞類接続","*","*",21,15,15,1
4334,"聞く","動詞","自立","*","*",27,38,20,0
4338,"囁く","動詞","自立","*","*",12,0,5,1
4339,"タマ","名詞","固有名詞","人名","名",12,18,15,1
4341,"返す","動詞","自立","*","*",21,3,9,0
4342,"親指","名詞","一般","*","*",21,3,9,0
4343,"グッ","副詞","助詞類接続","*","*",12,0,5,1
4345,"無言","名詞","一般","*","*",12,0,5,1
4346,"去る","動詞","自立","*","*",12,0,5,1
4347,"行く","動詞","非自立","*","*",30,48,29,0
4349,"代","名詞","接尾","助数詞","*",12,6,7,1
4351,"CM","名詞","固有名詞","組織","*",27,0,13,1
4352,"地球","名詞","一般","*","*",12,0,5,1
4353,"一つ","名詞","一般","*","*",12,0,5,1
4355,"～","名詞","サ変接続","*","*",33,12,19,1
4356,"短期","名詞","一般","*","*",12,0,5,1
4357,"方","名詞","非自立","一般","*",39,16,19,1
4359,"んで","助詞","接続助詞","*","*",12,9,10,1
4362,"ﾟ","名詞","一般","*","*",36,0,16,1
4363,"Д","名詞","一般","*","*",42,0,16,1
4368,"┏○","名詞","サ変接続","*","*",12,0,5,1
4370,"対戦","名詞","サ変接続","*","*",12,6,8,1
4371,"(´","名詞","サ変接続","*","*",12,6,7,1
4372,"  ","記号","空白","*","*",12,0,5,1
4374,"゜","記号","一般","*","*",12,0,5,1
4376,"じゃ","助詞","副助詞","*","*",12,22,15,1
4377,"枠","名詞","一般","*","*",39,3,19,1
4383,"あざ","名詞","一般","*","*",12,0,5,1
4384,"無断","名詞","一般","*","*",12,0,5,1
4385,"転載","名詞","サ変接続","*","*",24,20,13,0
4395,"天野","名詞","固有名詞","人名","姓",21,3,12,1
4398,"漫画","名詞","一般","*","*",21,0,11,1
4402,"完結","名詞","サ変接続","*","*",21,0,10,1
4403,"形式","名詞","一般","*","*",21,0,10,1
4404,"月刊","名詞","一般","*","*",21,0,10,1
4405,"誌","名詞","接尾","一般","*",39,20,20,0
4406,"連載","名詞","サ変接続","*","*",42,26,23,0
4408,"参照","名詞","サ変接続","*","*",12,0,5,1
4409,"お","感動詞","*","*","*",60,23,29,1
4411,"紅蓮","名詞","一般","*","*",21,43,17,0
4412,"華","名詞","一般","*","*",30,94,37,0
4414,"＞","記号","括弧閉","*","*",15,26,13,1
4415,"分","名詞","接尾","一般","*",3,46,19,1
4416,"＆","記号","一般","*","*",0,43,18,1
